en-CA;CCAD2020MLPCM;5134892000;CorelCAD 2020;899;;;;;;
en-CA;ESDCCAD2020ML;204960;CorelCAD 2020;899;;;;;;
en-CA;ESDCCAD2020MLUG;204961;CorelCAD 2020;259;;;;;;
de-DE;ESDCCAD2020ML;204960;CorelCAD 2020;829,99;;;;;;0
de-DE;ESDCCAD2020MLUG;204961;CorelCAD 2020;239,99;;;;;;
en-AU;ESDCCAD2020ML;204960;CorelCAD 2020;999;;;;;;
en-AU;ESDCCAD2020MLUG;204961;CorelCAD 2020;285;;;;;;
en-GB;ESDCCAD2020ML;204960;CorelCAD 2020;799.99;;;;;;
en-GB;ESDCCAD2020MLUG;204961;CorelCAD 2020;232.99;;;;;;
en-US;CCAD2020MLPCM;5134892000;CorelCAD 2020;699;;;;;;
en-US;ESDCCAD2020ML;204960;CorelCAD 2020;699;;;;;;
en-US;ESDCCAD2020MLUG;204961;CorelCAD 2020;199;;;;;;
fr-FR;ESDCCAD2020ML;204960;CorelCAD 2020;829,99;;;;;;
fr-FR;ESDCCAD2020MLUG;204961;CorelCAD 2020;239,99;;;;;;
ja-JP;ESDCCAD2020ML;204960;CorelCAD 2020;74,520;;;;;;
ja-JP;ESDCCAD2020MLUG;204961;CorelCAD 2020;36,720;;;;;;
zh-TW;ESDCCAD2020ML;204960;CorelCAD 2020;21,000;;;;;;
zh-TW;ESDCCAD2020MLUG;204961;CorelCAD 2020;5,964;;;;;;
pt-BR;ESDCCAD2020ML;204960;CorelCAD 2020;2,229;;;;;;
pt-BR;ESDCCAD2020MLUG;204961;CorelCAD 2020;629;;;;;;
