en-CA;ESDWP2020PREF;213729;OL_WP19PRO;519.99;464.99;;CA$ 55;-11%;($55)
en-CA;ESDWP2020PREFUG;213731;OL_WP19PRO;337.99;299.99;;CA$ 35;-11%;($38)
en-CA;WP2020PREFDVDAM;5181541100;OL_WP19PRO;519.99;464.99;;CA$ 55;-11%;($55)
en-CA;WP2020PREFDVDUGAM;5181541200;OL_WP19PRO;337.99;299.99;;CA$ 35;-11%;($38)
en-AU;ESDWP2020PREF;213729;OL_WP19PRO;449.95;404.95;;10%;-10%;($45)
en-AU;ESDWP2020PREFUG;213731;OL_WP19PRO;299.95;269.95;;10%;-10%;($30)
en-GB;ESDWP2020PREF;213729;OL_WP19PRO;514.99;462.99;;10%;-10%;($52)
en-GB;ESDWP2020PREFUG;213731;OL_WP19PRO;254.99;228.99;;10%;-10%;($26)
en-US;ESDWP2020PREF;213729;OL_WP19PRO;399.99;359.99;;$40;-10%;($40)
en-US;ESDWP2020PREFUG;213731;OL_WP19PRO;259.99;229.99;;$30;-12%;($30)
en-US;WP2020PREFDVDAM;5181541900;OL_WP19PRO;399.99;359.99;;$40;-10%;($40)
en-US;WP2020PREFDVDUGAM;5181542000;OL_WP19PRO;259.99;229.99;;$30;-12%;($30)
ja-JP;ESDWP2020PREF;213729;OL_WP19PRO;61,508;55,280;;10%;-10%;($6,151)
ja-JP;ESDWP2020PREFUG;213731;OL_WP19PRO;33,737;30,280;;10%;-10%;($3,374)
